survey_id,question_id,image_filename,disease_token
1,5,000000-saunet-drive.png,diabetic_retinopathy
1,10,000613-eswanet-drive.png,diabetic_retinopathy
1,24,002670-iternet-drive.png,diabetic_retinopathy
1,28,002670-eswanet-drive.png,diabetic_retinopathy
1,29,002764-vesselunet-drive.png,diabetic_retinopathy
1,37,003522-vgan-drive.png,diabetic_retinopathy
1,39,003522-saunet-drive.png,diabetic_retinopathy
1,40,003522-laddernet-drive.png,diabetic_retinopathy
1,47,005078-iternet_uni-drive.png,diabetic_retinopathy
1,57,000278-iternet_uni-stare.png,background_diabetic_retinopathy
1,67,001041-vgan-stare.png,central_retinal_artery_occlusion
1,67,001041-vgan-stare.png,central_retinal_vein_occlusion
1,72,001078-iternet-stare.png,background_diabetic_retinopathy
1,77,001078-vgan-stare.png,background_diabetic_retinopathy
1,78,001455-iternet_uni-stare.png,arteriosclerotic_retinopathy
1,83,001455-iternet-stare.png,arteriosclerotic_retinopathy
2,1,000000-laddernet-drive.png,diabetic_retinopathy
2,3,000000-vesselunet-drive.png,diabetic_retinopathy
2,7,000000-vgan-drive.png,diabetic_retinopathy
2,18,001614-saunet-drive.png,diabetic_retinopathy
2,20,001614-laddernet-drive.png,diabetic_retinopathy
2,25,002670-iternet_uni-drive.png,diabetic_retinopathy
2,31,002764-eswanet-drive.png,diabetic_retinopathy
2,43,005078-saunet-drive.png,diabetic_retinopathy
2,55,000039-saunet-stare.png,cilio_retinal_artery_occlusion
2,55,000039-saunet-stare.png,central_retinal_artery_occlusion
2,60,000278-vesselunet-stare.png,background_diabetic_retinopathy
2,62,000278-saunet-stare.png,background_diabetic_retinopathy
2,63,000278-vgan-stare.png,background_diabetic_retinopathy
2,65,001041-eswanet-stare.png,central_retinal_artery_occlusion
2,65,001041-eswanet-stare.png,central_retinal_vein_occlusion
2,68,001041-vesselunet-stare.png,central_retinal_artery_occlusion
2,68,001041-vesselunet-stare.png,central_retinal_vein_occlusion
2,73,001078-vesselunet-stare.png,background_diabetic_retinopathy
3,4,000000-eswanet-drive.png,diabetic_retinopathy
3,12,000613-laddernet-drive.png,diabetic_retinopathy
3,14,000613-saunet-drive.png,diabetic_retinopathy
3,15,001614-iternet_uni-drive.png,diabetic_retinopathy
3,17,001614-iternet-drive.png,diabetic_retinopathy
3,19,001614-vgan-drive.png,diabetic_retinopathy
3,22,002670-saunet-drive.png,diabetic_retinopathy
3,26,002670-vgan-drive.png,diabetic_retinopathy
3,34,002764-saunet-drive.png,diabetic_retinopathy
3,42,003522-eswanet-drive.png,diabetic_retinopathy
3,45,005078-laddernet-drive.png,diabetic_retinopathy
3,70,001041-saunet-stare.png,central_retinal_artery_occlusion
3,70,001041-saunet-stare.png,central_retinal_vein_occlusion
3,75,001078-eswanet-stare.png,background_diabetic_retinopathy
3,79,001455-vgan-stare.png,arteriosclerotic_retinopathy
3,80,001455-saunet-stare.png,arteriosclerotic_retinopathy
4,13,000613-vesselunet-drive.png,diabetic_retinopathy
4,16,001614-eswanet-drive.png,diabetic_retinopathy
4,21,001614-vesselunet-drive.png,diabetic_retinopathy
4,30,002764-iternet-drive.png,diabetic_retinopathy
4,36,003522-iternet_uni-drive.png,diabetic_retinopathy
4,44,005078-vesselunet-drive.png,diabetic_retinopathy
4,46,005078-iternet-drive.png,diabetic_retinopathy
4,49,005078-eswanet-drive.png,diabetic_retinopathy
4,50,000039-laddernet-stare.png,cilio_retinal_artery_occlusion
4,50,000039-laddernet-stare.png,central_retinal_artery_occlusion
4,52,000039-iternet-stare.png,cilio_retinal_artery_occlusion
4,52,000039-iternet-stare.png,central_retinal_artery_occlusion
4,53,000039-iternet_uni-stare.png,cilio_retinal_artery_occlusion
4,53,000039-iternet_uni-stare.png,central_retinal_artery_occlusion
4,56,000039-vesselunet-stare.png,cilio_retinal_artery_occlusion
4,56,000039-vesselunet-stare.png,central_retinal_artery_occlusion
4,61,000278-eswanet-stare.png,background_diabetic_retinopathy
4,64,001041-laddernet-stare.png,central_retinal_artery_occlusion
4,64,001041-laddernet-stare.png,central_retinal_vein_occlusion
4,81,001455-laddernet-stare.png,arteriosclerotic_retinopathy
5,6,000000-iternet_uni-drive.png,diabetic_retinopathy
5,8,000613-iternet-drive.png,diabetic_retinopathy
5,11,000613-iternet_uni-drive.png,diabetic_retinopathy
5,23,002670-vesselunet-drive.png,diabetic_retinopathy
5,27,002670-laddernet-drive.png,diabetic_retinopathy
5,32,002764-vgan-drive.png,diabetic_retinopathy
5,33,002764-iternet_uni-drive.png,diabetic_retinopathy
5,35,002764-laddernet-drive.png,diabetic_retinopathy
5,41,003522-vesselunet-drive.png,diabetic_retinopathy
5,54,000039-eswanet-stare.png,cilio_retinal_artery_occlusion
5,54,000039-eswanet-stare.png,central_retinal_artery_occlusion
5,58,000278-laddernet-stare.png,background_diabetic_retinopathy
5,71,001078-laddernet-stare.png,background_diabetic_retinopathy
5,74,001078-iternet_uni-stare.png,background_diabetic_retinopathy
5,76,001078-saunet-stare.png,background_diabetic_retinopathy
5,84,001455-vesselunet-stare.png,arteriosclerotic_retinopathy
6,2,000000-iternet-drive.png,diabetic_retinopathy
6,9,000613-vgan-drive.png,diabetic_retinopathy
6,38,003522-iternet-drive.png,diabetic_retinopathy
6,48,005078-vgan-drive.png,diabetic_retinopathy
6,51,000039-vgan-stare.png,cilio_retinal_artery_occlusion
6,51,000039-vgan-stare.png,central_retinal_artery_occlusion
6,59,000278-iternet-stare.png,background_diabetic_retinopathy
6,66,001041-iternet-stare.png,central_retinal_artery_occlusion
6,66,001041-iternet-stare.png,central_retinal_vein_occlusion
6,69,001041-iternet_uni-stare.png,central_retinal_artery_occlusion
6,69,001041-iternet_uni-stare.png,central_retinal_vein_occlusion
6,82,001455-eswanet-stare.png,arteriosclerotic_retinopathy
7,6,000000-iternet_uni-drive.png,diabetic_retinopathy
7,13,000613-vesselunet-drive.png,diabetic_retinopathy
7,14,000613-saunet-drive.png,diabetic_retinopathy
7,25,002670-iternet_uni-drive.png,diabetic_retinopathy
7,26,002670-vgan-drive.png,diabetic_retinopathy
7,29,002764-vesselunet-drive.png,diabetic_retinopathy
7,37,003522-vgan-drive.png,diabetic_retinopathy
7,53,000039-iternet_uni-stare.png,cilio_retinal_artery_occlusion
7,53,000039-iternet_uni-stare.png,central_retinal_artery_occlusion
7,55,000039-saunet-stare.png,cilio_retinal_artery_occlusion
7,55,000039-saunet-stare.png,central_retinal_artery_occlusion
7,58,000278-laddernet-stare.png,background_diabetic_retinopathy
7,60,000278-vesselunet-stare.png,background_diabetic_retinopathy
7,61,000278-eswanet-stare.png,background_diabetic_retinopathy
7,68,001041-vesselunet-stare.png,central_retinal_artery_occlusion
7,68,001041-vesselunet-stare.png,central_retinal_vein_occlusion
7,71,001078-laddernet-stare.png,background_diabetic_retinopathy
7,73,001078-vesselunet-stare.png,background_diabetic_retinopathy
8,7,000000-vgan-drive.png,diabetic_retinopathy
8,10,000613-eswanet-drive.png,diabetic_retinopathy
8,21,001614-vesselunet-drive.png,diabetic_retinopathy
8,30,002764-iternet-drive.png,diabetic_retinopathy
8,33,002764-iternet_uni-drive.png,diabetic_retinopathy
8,40,003522-laddernet-drive.png,diabetic_retinopathy
8,41,003522-vesselunet-drive.png,diabetic_retinopathy
8,45,005078-laddernet-drive.png,diabetic_retinopathy
8,47,005078-iternet_uni-drive.png,diabetic_retinopathy
8,48,005078-vgan-drive.png,diabetic_retinopathy
8,49,005078-eswanet-drive.png,diabetic_retinopathy
8,54,000039-eswanet-stare.png,cilio_retinal_artery_occlusion
8,54,000039-eswanet-stare.png,central_retinal_artery_occlusion
8,57,000278-iternet_uni-stare.png,background_diabetic_retinopathy
8,67,001041-vgan-stare.png,central_retinal_artery_occlusion
8,67,001041-vgan-stare.png,central_retinal_vein_occlusion
8,81,001455-laddernet-stare.png,arteriosclerotic_retinopathy
